sectors,state_name,state_fips,value
Farms,Alabama,1,1.748968440211691
"Forestry, fishing, and related activities",Alabama,1,1.3560602917854183
Oil and gas extraction,Alabama,1,1.5699043778443802
"Mining, except oil and gas",Alabama,1,1.5502187277027588
Support activities for mining,Alabama,1,1.4208917249940722
Utilities,Alabama,1,1.4908905539153017
Construction,Alabama,1,1.7436090600082128
Wood products,Alabama,1,2.065097292197583
Nonmetallic mineral products,Alabama,1,1.8292443229152244
Primary metals,Alabama,1,2.2032822726364283
Fabricated metal products,Alabama,1,2.022501949531991
Machinery,Alabama,1,1.9393179099164903
Computer and electronic products,Alabama,1,1.299264229460951
"Electrical equipment, appliances, and components",Alabama,1,1.952000046770388
"Motor vehicles, bodies and trailers, and parts",Alabama,1,2.470228236106858
Other transportation equipment,Alabama,1,1.853390382901808
Furniture and related products,Alabama,1,2.058776963551749
Miscellaneous manufacturing,Alabama,1,1.616391732792738
Food and beverage and tobacco products,Alabama,1,1.952764419920877
Textile mills and textile product mills,Alabama,1,2.101249332348816
Apparel and leather and allied products,Alabama,1,1.6023502359584332
Paper products,Alabama,1,2.111602778466273
Printing and related support activities,Alabama,1,1.7754070524292214
Petroleum and coal products,Alabama,1,1.4316543484965365
Chemical products,Alabama,1,1.7393826258228022
Plastics and rubber products,Alabama,1,2.121651304931453
Wholesale trade,Alabama,1,1.5626267963767693
Retail trade,Alabama,1,1.4673474904951709
Air transportation,Alabama,1,1.5029939283699287
Rail transportation,Alabama,1,1.491683545246181
Water transportation,Alabama,1,1.5501893897965842
Truck transportation,Alabama,1,1.5295708333086615
Transit and ground passenger transportation,Alabama,1,1.4702371231551956
Pipeline transportation,Alabama,1,1.7641197690293102
Other transportation and support activities,Alabama,1,1.724717239696837
Warehousing and storage,Alabama,1,1.725983621659184
Publishing industries (includes software),Alabama,1,1.36812424262872
Motion picture and sound recording industries,Alabama,1,1.606046869753846
Broadcasting and telecommunications,Alabama,1,1.5153636752834243
Information and data processing services,Alabama,1,1.3328642374133968
"Federal Reserve banks, credit intermediation, and related activities",Alabama,1,1.2296883585083191
"Securities, commodity contracts, and investments",Alabama,1,1.4760457719654063
Insurance carriers and related activities,Alabama,1,1.452241672625966
